Constituent ID,Constituent type,Constituent codes,Lifetime giving,First gift amount,First gift type,First gift date,Latest gift amount,Latest gift type,Latest gift date,Greatest gift amount,Greatest gift type,Greatest gift date,Prospect status,Last action category,Last action date,Prospect classification,Gender,Spouse,Tags,BPI - Bass Society,"Committee, WSF Board+","Committee, WSF-Driven","Committees, Outside",Community Groups,"Events, BPI","Events, Community Conversations","Events, Donor","Events, PA","Events, Prospect","Events, Sponsor","Events, Volunteer","Events, Womens Fund","Events, WSF",Legacy,Original Building Donor - 2014,Stewardship Letters,Tax Status,Echo Award,Date added,Solicit codes,Professional Advisors,Prospect Type,Transformational Donor
2020.1219,Organization,Estate (7/22/2020 - No end date),9282847.91,10000.62,One-time gift,3/5/2021,165166.15,One-time gift,7/12/2022,5000000,One-time gift,4/23/2021,,Email,10/20/2020,,,0,,,,,,,,,,,,,,,,0,,,,,7/22/2020,,,,
2006.3205,Organization,Grant Payee (No start date - No end date);Grant Requestor / Recipient (No start date - No end date),9270961.57,3000,One-time gift,8/17/2006,100,One-time gift,11/21/2022,7315606.29,One-time gift,3/16/2020,,,,,,0,Recent gift,,,,,,,,,,,,,,,0,,,501 (c)(3) Public Charity (No date),,8/18/2006,,,,
2013.2025,Organization,Estate (12/26/2013 - No end date),8769780.75,8000000,One-time gift,12/26/2013,19305.45,One-time gift,4/26/2018,8000000,One-time gift,12/26/2013,,,,,,0,Lapsed donor,,,,,,,,,,,,,,,0,,,,,12/26/2013,,,,
1996.MID.00771,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),8492610,1000,One-time gift,1/19/1999,742944.2,Stock/property (sold),11/18/2021,851584,Soft credit stock/property (sold),8/4/2016,Cultivation,Email,11/17/2022,Centennial A,Male,1,At risk donor;No meeting,,,,,,,2016 Jamie Vollmer (No date),2022 Legacy Event (11/1/2022);Donor Dinner (6/8/2022);2018 Student Aid Breakfast (7/24/2018);2018 Legacy Dinner (11/7/2018);2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2016 Donor Appreciation Celebration (No date);2015 Community Conversation 10-20 (No date),,2018 Burress Dinner; Old Town (10/4/2018),,,,,1,1,1,,,7/1/1996,,,,1
2016.1186,Individual,Individual (No start date - No end date),8492610,1000,Soft credit one-time gift,1/19/1999,742944.2,Soft credit stock/property (sold),11/18/2021,851584,Stock/property (sold),8/4/2016,,,,,Female,1,At risk donor;High wealth rating,,,,,,,,,,,,,,,0,,,,,8/22/2013,,,,
1998.MID.03207,Individual,Fundholder Portal Access (9/8/2021 - 12/31/2099),8383003.61,510121,Stock/property (sold),10/8/2020,160016,Stock/property (sold),11/10/2022,1200000,One-time gift,7/7/2021,Cultivation,Mailing,8/4/2022,Centennial A,Female,1,Recent gift;No contact;No meeting,,,,,,,,2022 Legacy Event (11/1/2022);2018 Legacy Dinner (11/7/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016),,,,,,,1,,1,,,7/16/1998,,,,
2020.175,Individual,Fundholder Portal Access (9/8/2021 - 12/31/2099),8194893.34,5000000,One-time gift,12/28/2020,39429.9,Stock/property (sold),12/27/2021,5000000,One-time gift,12/28/2020,,Meeting,4/29/2021,,Unknown,0,,,,,,,,,,,,,,,,1,,,,,12/7/2020,,,,
686,Individual,Fundholder Portal Access (9/8/2021 - 12/31/2099),8101493.41,99864.95,Stock/property (sold),4/13/2004,5000000,One-time gift,12/28/2017,5000000,One-time gift,12/28/2017,Pending Ask,Mailing,9/7/2021,Centennial A,Male,1,Lapsed donor;No contact;No meeting;High wealth rating,,,,,,,,Rooftop Centennial Cultivation (5/15/2018),,,,,,,0,,,,,4/22/2004,,,,
2007.717,Individual,,7639940.97,25521.79,Stock/property (sold),10/23/2007,50000,Pledge payment,5/6/2020,1947851.1,Stock/property (sold),11/20/2017,Pending Ask,Mailing,2/1/2021,Centennial B,Female,1,Lapsed donor;High wealth rating,,,,,,,,2018 Legacy Dinner (11/7/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2015 Community Conversation 10-20 (No date);2014 Legacy Dinner (No date);2015 Burress Dinner (No date),,2016 Women's Rooftop Event (No date),,,,,1,,,,,7/26/2007,,,,1
2009.1018,Organization,,7421048.61,189799.01,One-time gift,6/4/2009,12846.49,One-time gift,12/1/2011,3240000,One-time gift,6/18/2010,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,7/24/2009,,,,
1996.MID.00724,Individual,Volunteer (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099);WSF Board Member - Former (No start date - No end date),7055412.64,200,One-time gift,10/10/1998,100,Other,8/3/2022,1686967.03,Stock/property (sold),5/21/2004,Cultivation,Mailing,4/13/2022,Next Century Ambassadors,Male,0,,1,1,Next Century Ambassador (No date),,,2009 Appeal (No date),2016 Strong at Home (No date);2016 Jamie Vollmer (No date),2022 Legacy Event (11/1/2022);Donor Dinner (6/8/2022);2018 Legacy Dinner (11/7/2018);2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2016 Donor Appreciation Celebration (No date);2015 Burress Dinner (No date),,2018 Burress Dinner; Old Town (10/4/2018),,,,Jazz on the Rooftop (9/20/2022);WSF Committee Dinner (5/3/2022),1,,,,,7/1/1996,,,,1
1996.MID.00275,Individual,Volunteer (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099);WSF Board Member - Former (No start date - 2010),7004333.59,1000,One-time gift,12/1/1998,5000,Other,4/6/2022,1001225,Stock/property (sold),6/2/2015,Cultivation,Mailing,8/4/2022,Next Century Ambassadors,Male,1,No contact;No meeting;High wealth rating,1,1,Community Philanthropy Builders - Current Member (No date);Next Century Ambassador (No date);Asset Development Committee - Past Member (3/10/2005),,Campaign Coordinating Committee (6/28/2017),2013 Enterprise Center event (No date);2010 Wheeler event (No date);2009 Weston event attendees (No date);2009 Appeal (No date),2016 Jamie Vollmer (No date),2022 Legacy Event (11/1/2022);Donor Dinner (6/8/2022);2017 Student Aid Breakfast (7/25/2017);2018 Student Aid Breakfast (7/24/2018);2018 Legacy Dinner (11/7/2018);2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2016 Donor Appreciation Celebration (No date);2015 Legacy Dinner (No date);2015 Community Conversation 10-20 (No date);2015 Eric Jensen Event (No date);2014 Legacy Dinner (No date),2019 PA Appreciation Breakfast (9/17/2019);2018 PA Appreciation Breakfast (9/18/2018);2013 Sept PA Appreciation Breakfast (No date);2012 Eisenberg Gathering (No date);2010 Sept PA Appreciation Breakfast (No date);2008 Sept PA Appreciation Breakfast (No date),2018 Burress Dinner; Old Town (10/4/2018),,2016 Holiday Volunteer Event (No date),,WSF Committee Dinner (5/3/2022),1,1,1,,,7/1/1996,,,,1
2006.3645,Individual,Individual (No start date - No end date),7004333.59,1000,Soft credit one-time gift,12/1/1998,5000,Soft credit other,4/6/2022,1001225,Soft credit stock/property (sold),6/2/2015,,Mailing,3/27/2007,,Female,1,,,,,,,,,2015 Community Conversation 10-20 (No date),,,,,,,0,,,,,8/5/1996,,,,
2011.311,Organization,Estate (3/8/2011 - No end date),7000000,3000000,One-time gift,3/2/2011,1000000,One-time gift,3/2/2011,3000000,One-time gift,3/2/2011,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,3/8/2011,,,,
1998.MID.03346,Organization,,6942870.01,350,One-time gift,9/9/1998,298840,One-time gift,9/21/2015,1000000,One-time gift,11/7/2013,,Email,11/19/2014,,,0,Lost donor,,,,,,,,,,,,,,,0,,,501 (c)(3) Private Nonoperating Foundation (12/12/2011),,9/23/1998,,,,
2021.1672,Individual,,6823153.76,2408202.25,Stock/property (sold),12/9/2021,4414951.51,Stock/property (sold),12/9/2021,4414951.51,Stock/property (sold),12/9/2021,,Phone call,1/13/2022,,Unknown,0,,,,,,,,,,,,,,,,1,,,,,12/3/2021,No WSF Enews,,,
2000.MID.05523,Individual,Fundholder Portal Access (11/16/2021 - 12/31/2099),6629259.15,90062.5,Stock/property (sold),12/7/2000,100,Soft credit one-time gift,11/10/2022,857100,Stock/property (sold),10/29/2015,Cultivation,Mailing,9/7/2021,Centennial A,Male,1,Recent gift;No contact;No meeting,,,,,,,,2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018);Listening Session (No date),,2018 Burress Dinner; Old Town (10/4/2018);2015 Fall Rooftop Cultivation Event (No date),,,,,1,,,,,12/7/2000,,,,1
2015.1387,Individual,,6629016.65,90062.5,Soft credit stock/property (sold),12/7/2000,100,One-time gift,11/10/2022,857100,Soft credit stock/property (sold),10/29/2015,,,,,Female,1,Higher giving potential;Recent gift;High wealth rating,,,,,,,,,,,,,,,0,,,,,12/7/2000,,,,
1904,Organization,Estate (8/15/2005 - No end date),6613343.13,397338.84,One-time gift,7/20/2005,20005.29,One-time gift,5/21/2010,2659113.8,One-time gift,7/20/2005,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,8/15/2005,,,,
2015.157,Individual,Fundholder Portal Access (9/8/2021 - 12/31/2099),6591936.5,245486.64,Soft credit one-time gift,7/1/2015,5000,Other,12/27/2019,6064860.2,Soft credit one-time gift,7/1/2015,,Meeting,11/1/2020,,Male,1,Higher giving potential;Lapsed donor;No contact;No meeting,,,,,,,,2020 Donor Advisor 101 (No date);2018 Legacy Dinner (11/7/2018);2017 Legacy Dinner (11/8/2017);2017 Donor Advisor 101 (2/2/2017);2016 Donor Advisor 101 (No date),,,,,,,1,,,,,2/5/2015,,,,
2010.1008,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),6567371.55,208664.46,Stock/property (sold),6/10/2010,100966.15,Stock/property (sold),8/19/2022,450000,Pledge,6/12/2017,Cultivation,Email,10/20/2022,Centennial A,Male,1,High wealth rating,,,,,,,2016 Jamie Vollmer (No date),Donor Dinner (6/8/2022);2018 Student Aid Breakfast (7/24/2018);2018 Legacy Dinner (11/7/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2015 Eric Jensen Event (No date),2013 Sept PA Appreciation Breakfast (No date),2018 Burress Dinner; Old Town (10/4/2018),,,,,1,,,,,6/14/2010,,,,1
2016.1202,Individual,Individual (No start date - No end date),6565041.53,208664.46,Soft credit stock/property (sold),6/10/2010,100966.15,Soft credit stock/property (sold),8/19/2022,450000,Soft credit pledge,6/12/2017,,,,,Unknown,1,High wealth rating,,,,,,,,,,,,,,,0,,,,,6/15/2010,,,,
1997.MID.02842,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),6361341.11,26443.81,Stock/property (sold),12/16/1999,550000,One-time gift,10/11/2022,550000,One-time gift,6/27/2022,,Phone call,4/22/2019,,Male,0,,,,,,,,,,,,,,,,0,,,,,10/13/1997,,,,
1996.MID.01293,Organization,Foundation (No start date - No end date),6338500,12500,One-time gift,12/23/1999,25000,One-time gift,4/1/2020,3000000,One-time gift,10/6/2006,,Mailing,8/4/2022,,,0,Lapsed donor,,,,,,,,,,,Community Meeting-Prospective Ask (No date);Community Meeting-2004 (No date),,,,0,,1,,,7/1/1996,,,Mailing Recipient (No date),
1996.MID.01126,Organization,Organization (No start date - No end date),6312310,650000,One-time gift,8/26/1998,300,One-time gift,11/1/2022,650000,One-time gift,8/26/1998,,Meeting,4/27/2022,,,0,,,,,,,,,,,,Community Meeting-2019 Supporter (No date);Women's Fund Luncheon-2018 Bronze (No date);Community Meeting-2018 Supporter (No date);Women's Fund Luncheon-2017 Bronze (No date);Community Meeting-2017 Supporter (No date);Women's Fund Luncheon-2016 Bronze (No date);Community Meeting-2016 Supporter (No date);Women's Fund Luncheon-2015 Bronze (No date);Women's Fund Luncheon-Prospective Ask (No date);Community Meeting-Prospective Ask (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date);Community Meeting (No date),,,,0,,,501 (c)(3) Private Nonoperating Foundation (No date),,7/1/1996,,,Mailing Recipient (No date),
1996.MID.02124,Organization,Professional Advisor (No start date - No end date),5690490.44,1050,One-time gift,1/12/1998,1615.44,One-time gift,8/7/2020,2200000,One-time gift,2/26/2003,,Mailing,8/4/2022,,,0,Lapsed donor,,,,,,,,,,,Women's Fund Luncheon-Prospective Ask (No date);BPI Fundraiser-Prospective Ask (No date);Community Meeting-2019 Centennial (No date);Women's Fund Luncheon-2018 Gold (No date);BPI Fundraiser-2018 (No date);Community Meeting-2018 Keynote Sponsor (No date);BPI Fundraiser-2017 (No date); (No date);Women's Fund Luncheon-2017 Silver (No date);Community Meeting-2017 Investor (No date);Women's Fund Luncheon-2016 Silver (No date);Community Meeting-2016 Investor (No date);Women's Fund Luncheon-2015 Silver (No date);Women's Fund Luncheon-Prospective Ask (No date);Community Meeting-Prospective Ask (No date);Community Meeting-2015 Investor (No date);Community Meeting-2014 Investor (No date);Community Meeting-2013 Investor (No date);Community Meeting-2012 Investor (No date);Community Meeting-2011 Investor (No date);Community Meeting-2005 (No date);Community Meeting-2004 (No date);Community Meeting-2009 (No date);Community Meeting-2006 (No date),,,,0,,1,,,7/1/1996,No Annual Report,,,
2013.315,Individual,Individual (No start date - No end date),5506334.24,203051.63,Stock/property (sold),4/2/2013,50000,Soft credit pledge payment,5/6/2020,1947851.1,Soft credit stock/property (sold),11/20/2017,,Mailing,10/29/2015,,Male,1,Lapsed donor;High wealth rating,,,,,,,2016 Jamie Vollmer (No date),2015 Community Conversation 10-20 (No date),,,,,,,0,,,,,11/15/2010,,,,
1999.MID.04211,Organization,Estate (1/5/1999 - No end date),4956126.11,2679663.8,One-time gift,12/18/1998,2500,Other,12/27/2007,2679663.8,One-time gift,12/18/1998,,,,,,0,Lost donor,,,,,,,,,,,,,,,0,,,,,1/5/1999,,,,
1996.MID.02141,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),4860374.92,100,One-time gift,1/6/1998,656299,Stock/property (sold),5/5/2022,2000000,One-time gift,12/20/2018,Cultivation,Mailing,9/7/2021,Next Century Ambassadors,Male,1,Overdue pledge,,,Next Century Ambassador (No date),,Winston-Salem Alliance (1/1/2003),,,2022 Legacy Event (11/1/2022);2018 Legacy Dinner (11/7/2018);2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Donor Advisor 101 (2/2/2017);2015 Burress Dinner (No date),,2018 Burress Dinner; Old Town (10/4/2018),,,,,1,,,,,7/1/1996,,,,
2006.374,Organization,,4859769.43,22500,One-time gift,12/19/2006,18586.3,One-time gift,8/2/2021,69120,One-time gift,12/19/2007,,,,,,0,Lapsing donor,,,,,,,,,,,,,,,0,,,,,12/22/2006,,,,
1996.MID.00368,Individual,Volunteer (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099);WSF Board Member - Former (No start date - No end date),4765024.71,60000,Other,1/13/1997,16534,Pledge payment,1/26/2022,480000,One-time gift,12/31/2021,Cultivation,Mailing,8/4/2022,Next Century Ambassadors,Male,1,High wealth rating,,1,Next Century Ambassador (No date),,Winston-Salem Alliance (1/1/2003),2009 Appeal (No date),,Donor Dinner (6/8/2022);2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018);2015 Eric Jensen Event (No date);2014 Legacy Dinner (No date);2015 Burress Dinner (No date);Listening Session (No date),,2018 Burress Dinner; Old Town (10/4/2018),,,,WSF Committee Dinner (5/3/2022),1,,1,,,7/1/1996,,,,1
2015.846,Individual,Individual (No start date - No end date);Fundholder Portal Access (12/3/2021 - 12/31/2099),4752839.65,50324.8,Stock/property (sold),7/12/2016,502997.32,Stock/property (sold),9/13/2021,1706130,Stock/property (sold),12/20/2017,Cultivation,Mailing,11/3/2022,Centennial B,Unknown,1,At risk donor;No meeting;High wealth rating,,,,,,,,2018 Legacy Dinner (11/7/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2017 Donor Advisor 101 (2/2/2017),,,,,,,1,,,,,6/25/2015,,,,
1999.MID.04457,Organization,Business (No start date - No end date),4564870,20000,One-time gift,3/26/2003,20000,One-time gift,1/13/2022,300000,Pledge,12/12/2016,,Email,10/20/2022,,,0,,,,,,,,,,,,Community Meeting-Previous Ask (No date);Community Meeting-2009 (No date);Community Meeting-2006 (No date),,,,0,,,,,6/9/1999,No CLF Appeal,,Mailing Recipient (No date),
2022.474,Organization,,4292667.04,4292544.96,One-time gift,3/31/2022,12.21,One-time gift,5/9/2022,4292544.96,One-time gift,3/31/2022,,,,,,0,,,,,,,,,,,,,,,,0,,,,,4/1/2022,,,,
1996.MID.01324,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),3996713.88,36218.75,Stock/property (sold),12/24/1996,157843.28,Stock/property (sold),2/3/2021,429181.88,Stock/property (sold),3/30/2017,Cultivation,Mailing,9/7/2021,Centennial A,Male,1,Lapsing donor;No contact;No meeting,,,,,,,2016 Strong at Home (No date),2019 Fallows Book Discussion (9/6/2019);2018 Legacy Dinner (11/7/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2015 Community Conversation 10-20 (No date);2015 Eric Jensen Event (No date);2014 Legacy Dinner (No date),,,,,,,1,,,,,7/1/1996,,,,1
2007.183,Individual,Individual (No start date - No end date),3893243.68,1200,One-time gift,3/1/2007,16534,Soft credit pledge payment,1/26/2022,480000,Soft credit one-time gift,12/31/2021,,Mailing,4/4/2007,,Female,1,High wealth rating,,,,,,,,,,,,,,,0,,,,,7/1/1996,,,,
2011.867,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),3829091.57,31750,Soft credit one-time gift,5/15/1998,15000,Other,2/9/2022,736115.1,One-time gift,9/8/2020,Cultivation,Mailing,9/7/2021,Centennial B,Female,1,,,,,,,,,2022 Legacy Event (11/1/2022);2018 Legacy Dinner (11/7/2018);2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018),,2018 Burress Dinner; Old Town (10/4/2018),,,,,1,,,,,7/22/1998,,,,
2022.463,Organization,Estate (3/31/2022 - No end date),3787889.92,1300000,One-time gift,6/1/2022,50000,One-time gift,11/21/2022,1300000,One-time gift,6/1/2022,,,,,,0,Recent gift,,,,,,,,,,,,,,,0,,,,,3/31/2022,,,,
2011.842,Individual,Individual (7/1/1996 - No end date),3730716.63,36218.75,Soft credit stock/property (sold),12/24/1996,157843.28,Soft credit stock/property (sold),2/3/2021,429181.88,Soft credit stock/property (sold),3/30/2017,,,,,Female,1,Lapsing donor,,,,,,,,,,,,,,,0,,,,,7/1/1996,,,,
2010.1893,Individual,Individual (No start date - No end date);Fundholder Portal Access (3/22/2022 - 12/31/2099),3708745.9,317187.5,Soft credit stock/property (sold),1/14/1997,200,Soft credit other,11/9/2022,997677,Soft credit stock/property (sold),12/24/2020,,Email,7/12/2021,,Female,1,Recent gift,,,,,,,,,,,,,,,1,,1,,,7/1/1996,,,,1
1996.MID.00185,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),3708745.9,317187.5,Stock/property (sold),1/14/1997,200,Other,11/9/2022,997677,Stock/property (sold),12/24/2020,Pending Ask,Email,10/20/2022,Centennial A,Male,1,Recent gift;No meeting,,,,,,,,"2022 Legacy Event (11/1/2022);Donor Dinner (6/8/2022);2017 Student Aid Breakfast (7/25/2017);2018 Student Aid Breakfast (7/24/2018);2018 Legacy Dinner (11/7/2018);2018 Donor Appreciation Celebration (6/14/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2016 Donor Appreciation Celebration (No date);2015 Legacy Dinner (No date);2015 Eric Jensen Event (No date);2005 Gaudiani dinner, May (No date)",,,,,,,0,,1,,,7/1/1996,,,,
2006.3468,Individual,Individual (No start date - No end date),3412421.41,661059.38,Soft credit one-time gift,3/13/1998,17.95,Soft credit other,1/25/2012,2060355.64,Soft credit stock/property (sold),1/4/2001,,Mailing,11/8/2006,,Female,1,Lost donor,,,,,,,,2018 Legacy Dinner (11/7/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2014 Legacy Dinner (No date),,,,,,,1,,,,,7/1/1996,,,,
1996.MID.02104,Individual,Professional Advisor (No start date - No end date);Volunteer (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),3288302.34,93744,One-time gift,12/22/1998,500,Other,8/10/2022,170000,One-time gift,12/20/2018,Cultivation,Mailing,8/4/2022,Next Century Ambassadors,Male,1,No contact;No meeting;High wealth rating,,1,Next Century Ambassador (No date);Asset Development Committee - Past Member (1/1/2004),,,,,"2022 Legacy Event (11/1/2022);Donor Dinner (6/8/2022);2018 Legacy Dinner (11/7/2018);Rooftop Centennial Cultivation (5/15/2018);2017 Legacy Dinner (11/8/2017);2016 Legacy Dinner (11/9/2016);2015 Legacy Dinner (No date);2014 Legacy Dinner (No date);2006 Julie Salamon dinner, May (No date)",2012 Sept PA Appreciation Breakfast (No date);2012 Eisenberg Gathering (No date);2011 Sept PA Appreciation Breakfast (No date),2018 Burress Dinner; Old Town (10/4/2018),,,,,1,,1,,,7/1/1996,,,,1
1996.MID.00782,Individual,Individual (No start date - No end date);Fundholder Portal Access (9/8/2021 - 12/31/2099),3214489.95,5000,Other,1/14/1997,203266.1,Soft credit stock/property (sold),8/26/2021,399724.44,Soft credit stock/property (sold),3/14/2019,,,,,Male,1,At risk donor;No contact;No meeting;High wealth rating,,,,,,,,,,,,,,,0,,,,,7/1/1996,No WSF Enews,,,
